,0,1,2
8,DEP USE ONLY,"[(1314, 104), (1482, 125)]","(1398.0, 114.5)"
9,Site ID,"[(1247, 132), (1298, 148)]","(1272.5, 140.0)"
10,Primary Facility Id,"[(1202, 188), (1341, 207)]","(1271.5, 197.5)"
11,Well Operator,"[(73, 323), (195, 346)]","(134.0, 334.5)"
12,Rice Drilling B LLC,"[(73, 355), (265, 378)]","(169.0, 366.5)"
13,Address,"[(70, 384), (145, 405)]","(107.5, 394.5)"
14,2200 Rice Drive,"[(71, 411), (234, 434)]","(152.5, 422.5)"
15,City,"[(71, 445), (105, 465)]","(88.0, 455.0)"
16,Canonsburg,"[(71, 467), (194, 491)]","(132.5, 479.0)"
17,Phone,"[(72, 499), (129, 517)]","(100.5, 508.0)"
20,NAD 83,"[(1090, 407), (1160, 424)]","(1125.0, 415.5)"
21,Email,"[(451, 500), (500, 519)]","(475.5, 509.5)"
22,WELL INFORMATION,"[(708, 293), (996, 321)]","(852.0, 307.0)"
23,DEP ID#,"[(639, 327), (718, 346)]","(678.5, 336.5)"
24,US Well No. (API No.),"[(852, 327), (1047, 350)]","(949.5, 338.5)"
25,268470,"[(639, 359), (717, 379)]","(678.0, 369.0)"
26,37-059-26943-00-01,"[(832, 353), (1065, 379)]","(948.5, 366.0)"
27,Latitude (DD),"[(729, 389), (848, 411)]","(788.5, 400.0)"
28,39.903371,"[(939, 387), (1045, 409)]","(992.0, 398.0)"
29,Longitude (DD),"[(731, 418), (867, 441)]","(799.0, 429.5)"
30,-80.410926,"[(934, 418), (1049, 439)]","(991.5, 428.5)"
31,State,"[(588, 445), (636, 465)]","(612.0, 455.0)"
32,Zip,"[(661, 444), (691, 468)]","(676.0, 456.0)"
33,Municipality,"[(732, 446), (836, 469)]","(784.0, 457.5)"
34,PA,"[(594, 468), (630, 489)]","(612.0, 478.5)"
35,15317 Richhill Twp,"[(664, 469), (853, 494)]","(758.5, 481.5)"
36,Borrow Pit,"[(730, 501), (824, 521)]","(777.0, 511.0)"
37,Farm Name,"[(1167, 330), (1272, 349)]","(1219.5, 339.5)"
38,Dennis Cholak,"[(1168, 361), (1315, 383)]","(1241.5, 372.0)"
39,Project Number,"[(1164, 388), (1304, 410)]","(1234.0, 399.0)"
40,County,"[(1167, 448), (1229, 469)]","(1198.0, 458.5)"
41,Greene,"[(1167, 473), (1244, 493)]","(1205.5, 483.0)"
42,Client Id,"[(1478, 133), (1541, 149)]","(1509.5, 141.0)"
43,Sub Facilily Id,"[(1455, 189), (1564, 207)]","(1509.5, 198.0)"
44,Well #,"[(1430, 330), (1486, 349)]","(1458.0, 339.5)"
45,50U,"[(1429, 363), (1473, 383)]","(1451.0, 373.0)"
46,Serial #,"[(1428, 391), (1498, 409)]","(1463.0, 400.0)"
47,USGS 7.5 min. quadrangle map,"[(1167, 501), (1445, 527)]","(1306.0, 514.0)"
48,724-271-7200,"[(72, 526), (212, 548)]","(142.0, 537.0)"
49,Lance blanchard @riceenergy.com,"[(446, 528), (706, 548)]","(576.0, 538.0)"
50,N/A,"[(1334, 1525), (1376, 1546)]","(1355.0, 1535.5)"
51,Wind Ridge,"[(1163, 529), (1270, 554)]","(1216.5, 541.5)"
52,Section,"[(1535, 505), (1605, 525)]","(1570.0, 515.0)"
53,g,"[(1576, 534), (1589, 549)]","(1582.5, 541.5)"
54,Amended Well Record,"[(928, 563), (1156, 586)]","(1042.0, 574.5)"
55,Well Type,"[(71, 599), (177, 625)]","(124.0, 612.0)"
56,& Gas,"[(261, 600), (335, 624)]","(298.0, 612.0)"
57,Well Orientation,"[(72, 638), (246, 660)]","(159.0, 649.0)"
58,Vertical X Deviated from Vertical (Top & Side views & Deviation Survey must be attached),"[(289, 638), (1245, 667)]","(767.0, 652.5)"
59,Drill Method(s),"[(70, 675), (229, 701)]","(149.5, 688.0)"
60,Rotary - Air 6513' X Rotary - Mud 9351',"[(321, 676), (792, 703)]","(556.5, 689.5)"
61,Cable Tool,"[(820, 678), (966, 702)]","(893.0, 690.0)"
62,Other,"[(1056, 678), (1151, 705)]","(1103.5, 691.5)"
63,Wellbore Conditioning:,"[(1274, 605), (1496, 631)]","(1385.0, 618.0)"
64,Check the appropriate Submission:,"[(72, 559), (450, 585)]","(261.0, 572.0)"
65,[X] Original Well Record,"[(545, 559), (785, 585)]","(665.0, 572.0)"
66,See attached,"[(930, 1711), (1066, 1733)]","(998.0, 1722.0)"
67,Drilling Started 11/27/2015,"[(72, 711), (305, 731)]","(188.5, 721.0)"
68,Surface Elev. 1342 ft.,"[(470, 712), (660, 733)]","(565.0, 722.5)"
69,GW Depth 135 ft.,"[(868, 713), (1023, 736)]","(945.5, 724.5)"
70,Drilling Complete 3/22/2017,"[(67, 742), (313, 766)]","(190.0, 754.0)"
71,True Vertical Depth 7775 ft.,"[(470, 744), (715, 767)]","(592.5, 755.5)"
72,Depth of DFGW 135 ft.,"[(870, 746), (1071, 767)]","(970.5, 756.5)"
73,Date Well Completed 3/26/2017,"[(70, 773), (349, 794)]","(209.5, 783.5)"
74,Total Measured Depth 15864 ft.,"[(469, 775), (743, 797)]","(606.0, 786.0)"
75,DFGW decided by: 5,"[(869, 776), (1054, 799)]","(961.5, 787.5)"
76,Cement returned on surface casing?,"[(70, 850), (433, 875)]","(251.5, 862.5)"
77,CEMENT,"[(784, 813), (907, 838)]","(845.5, 825.5)"
78,X Yes No,"[(519, 851), (659, 874)]","(589.0, 862.5)"
79,"If No, provide depth to top of cement and method used to determine:","[(691, 891), (1283, 915)]","(987.0, 903.0)"
80,Cement returned on coal protective casing? [X] Yes [ No,"[(70, 887), (658, 912)]","(364.0, 899.5)"
81,Cement returned on intermediate casing?,"[(69, 923), (482, 948)]","(275.5, 935.5)"
82,Yes No,"[(518, 922), (659, 945)]","(588.5, 933.5)"
83,"if No, provide depth to top of cement and method used to determine:","[(691, 927), (1283, 951)]","(987.0, 939.0)"
84,Casing String,"[(96, 978), (247, 1005)]","(171.5, 991.5)"
85,Type/Class of Cement,"[(295, 969), (533, 994)]","(414.0, 981.5)"
86,(Lead/Tail),"[(367, 995), (458, 1015)]","(412.5, 1005.0)"
87,Slurry,"[(584, 962), (645, 983)]","(614.5, 972.5)"
88,Temp Fº,"[(573, 984), (655, 1005)]","(614.0, 994.5)"
89,Amount of Cement (sks) (Lead/Tall/Total),"[(683, 981), (1066, 1007)]","(874.5, 994.0)"
